view_id,user_id,content_title,dialect,watch_duration_sec,device_type,timestamp,region
1,88,Kesariya Balam,Rajasthani,2900,SmartTV,2026-01-13 17:44:19.099571,Haryana
2,392,Kesariya Balam,Rajasthani,3451,SmartTV,2026-01-09 14:25:00.372391,UP
3,301,Bol Radha Bol,Rajasthani,3223,SmartTV,2026-01-20 09:02:30.624276,Rajasthan
4,63,Bol Radha Bol,Rajasthani,2365,Mobile,2026-01-15 18:18:27.225409,Rajasthan
5,153,Padharo Mhare Des,Bhojpuri,597,SmartTV,2026-01-11 00:17:50.726603,Delhi
6,150,Bol Radha Bol,Haryanvi,2544,SmartTV,2026-01-20 13:37:43.468582,Rajasthan
7,499,Nirahua Hindustani,Bhojpuri,821,SmartTV,2026-01-13 23:32:03.065310,Rajasthan
8,467,Ghatak,Haryanvi,1100,Web,2026-01-16 21:54:42.158034,Bihar
9,384,Kesariya Balam,Haryanvi,1684,Mobile,2026-01-17 21:43:05.456989,UP
10,486,Kesariya Balam,Bhojpuri,1070,SmartTV,2026-01-20 15:09:10.507146,UP
11,179,Kesariya Balam,Haryanvi,2237,Web,2026-01-10 07:20:23.581410,Rajasthan
12,497,Ghatak,Rajasthani,1313,SmartTV,2026-01-19 08:59:52.268822,Rajasthan
13,148,Ghatak,Bhojpuri,596,Web,2026-01-09 23:21:24.680082,Rajasthan
14,134,Kesariya Balam,Bhojpuri,3409,Web,2026-01-18 10:50:10.809825,UP
15,482,Nirahua Hindustani,Haryanvi,1146,Web,2026-01-11 11:13:27.777637,Rajasthan
16,334,Kesariya Balam,Bhojpuri,3491,Mobile,2026-01-09 20:53:46.161812,Bihar
17,232,Kesariya Balam,Rajasthani,580,Mobile,2026-01-17 03:44:08.589481,Delhi
18,282,Bol Radha Bol,Bhojpuri,2749,Mobile,2026-01-15 19:47:26.863288,Rajasthan
19,390,Bol Radha Bol,Rajasthani,1359,Web,2026-01-16 08:18:22.136907,Haryana
20,241,Ghatak,Rajasthani,1408,Mobile,2026-01-20 00:54:15.945083,UP
21,234,Ghatak,Rajasthani,1072,SmartTV,2026-01-08 14:52:37.618932,Bihar
22,31,Nirahua Hindustani,Bhojpuri,920,Web,2026-01-15 19:17:31.517153,Haryana
23,322,Desi Londe,Haryanvi,3201,SmartTV,2026-01-13 20:04:31.481964,UP
24,407,Kesariya Balam,Haryanvi,2540,SmartTV,2026-01-19 05:10:11.484035,Delhi
25,250,Desi Londe,Rajasthani,616,Mobile,2026-01-12 15:37:28.152258,UP
26,461,Nirahua Hindustani,Haryanvi,1320,Web,2026-01-18 23:13:35.316106,Delhi
27,462,Desi Londe,Haryanvi,2828,SmartTV,2026-01-09 15:52:13.298874,Delhi
28,220,Kesariya Balam,Bhojpuri,212,SmartTV,2026-01-14 11:26:13.007568,Haryana
29,151,Nirahua Hindustani,Haryanvi,2893,Web,2026-01-17 06:30:12.940704,UP
30,20,Nirahua Hindustani,Haryanvi,2620,SmartTV,2026-01-09 01:16:26.123989,Bihar
31,256,Bol Radha Bol,Bhojpuri,1044,Web,2026-01-15 18:06:29.013445,UP
32,430,Nirahua Hindustani,Bhojpuri,83,SmartTV,2026-01-08 04:02:52.507624,Rajasthan
